dataset,rep,M,S,MS,K_star,rf_acc,rf_rmin,rf_rmaj,Kstar_acc,Kstar_rmin,Kstar_rmaj,K0_acc,K0_rmin,K0_rmaj,K10_acc,K10_rmin,K10_rmaj,K20_acc,K20_rmin,K20_rmaj,K30_acc,K30_rmin,K30_rmaj
wine,13,0.010989,0.000000,0.000000,0,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381
wine,14,0.010989,0.000000,0.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,15,0.010989,0.000000,0.000000,0,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381
wine,16,0.021978,0.833333,0.018315,0,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000,0.974359,0.944444,1.000000
wine,17,0.021978,0.000000,0.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,18,0.010989,0.000000,0.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,19,0.021978,0.000000,0.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,20,0.010989,0.000000,0.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,21,0.032967,0.250893,0.008271,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,22,0.032967,0.677443,0.022333,0,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381
wine,23,0.032967,0.629464,0.020752,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,24,0.032967,0.493750,0.016277,0,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381
wine,25,0.032967,0.503641,0.016604,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,26,0.021978,0.000000,0.000000,0,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381
wine,27,0.032967,0.000000,0.000000,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,28,0.043956,0.469244,0.020626,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
wine,29,0.010989,0.000000,0.000000,0,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381,0.974359,1.000000,0.952381
heart-disease,0,0.120805,0.049009,0.005921,0,0.800000,0.375000,0.938776,0.800000,0.375000,0.938776,0.800000,0.375000,0.938776,0.800000,0.375000,0.938776,0.800000,0.375000,0.938776,0.800000,0.375000,0.938776
heart-disease,1,0.114094,0.120221,0.013717,30,0.815385,0.250000,1.000000,0.830769,0.312500,1.000000,0.830769,0.312500,1.000000,0.830769,0.312500,1.000000,0.830769,0.312500,1.000000,0.830769,0.312500,1.000000
heart-disease,2,0.167785,0.081602,0.013692,0,0.753846,0.125000,0.959184,0.753846,0.125000,0.959184,0.753846,0.125000,0.959184,0.769231,0.187500,0.959184,0.769231,0.187500,0.959184,0.769231,0.187500,0.959184
heart-disease,3,0.161074,0.083354,0.013426,0,0.815385,0.375000,0.959184,0.815385,0.375000,0.959184,0.815385,0.375000,0.959184,0.815385,0.375000,0.959184,0.815385,0.375000,0.959184,0.815385,0.375000,0.959184
heart-disease,4,0.134228,0.101782,0.013662,0,0.769231,0.187500,0.959184,0.784615,0.187500,0.979592,0.784615,0.187500,0.979592,0.784615,0.187500,0.979592,0.784615,0.187500,0.979592,0.784615,0.187500,0.979592
heart-disease,5,0.147651,0.121296,0.017910,0,0.784615,0.250000,0.959184,0.784615,0.250000,0.959184,0.784615,0.250000,0.959184,0.784615,0.250000,0.959184,0.784615,0.250000,0.959184,0.784615,0.250000,0.959184
heart-disease,6,0.140940,0.100804,0.014207,0,0.815385,0.437500,0.938776,0.800000,0.500000,0.897959,0.800000,0.500000,0.897959,0.800000,0.500000,0.897959,0.800000,0.500000,0.897959,0.800000,0.500000,0.897959
