dataset,rep,M,S,MS,rf_acc,rf_rmin,rf_rmaj,K0_alpha,K0_acc,K0_rmin,K0_rmaj,K10_alpha,K10_acc,K10_rmin,K10_rmaj,K20_alpha,K20_acc,K20_rmin,K20_rmaj,K30_alpha,K30_acc,K30_rmin,K30_rmaj
heart-disease,11,0.174497,0.101469,0.017706,0.846154,0.562500,0.938776,1.000000,0.846154,0.562500,0.938776,1.177061,0.846154,0.562500,0.938776,1.354121,0.846154,0.562500,0.938776,1.531182,0.846154,0.562500,0.938776
heart-disease,12,0.140940,0.091663,0.012919,0.800000,0.250000,0.979592,1.000000,0.815385,0.312500,0.979592,1.129190,0.815385,0.312500,0.979592,1.258379,0.815385,0.312500,0.979592,1.387569,0.815385,0.312500,0.979592
heart-disease,13,0.114094,0.139435,0.015909,0.800000,0.312500,0.959184,1.000000,0.800000,0.312500,0.959184,1.159087,0.800000,0.312500,0.959184,1.318175,0.800000,0.312500,0.959184,1.477262,0.800000,0.312500,0.959184
heart-disease,14,0.174497,0.071913,0.012549,0.800000,0.375000,0.938776,1.000000,0.800000,0.375000,0.938776,1.125485,0.784615,0.375000,0.918367,1.250971,0.784615,0.375000,0.918367,1.376456,0.784615,0.375000,0.918367
heart-disease,15,0.127517,0.086203,0.010992,0.769231,0.125000,0.979592,1.000000,0.769231,0.125000,0.979592,1.109923,0.769231,0.125000,0.979592,1.219847,0.769231,0.125000,0.979592,1.329770,0.769231,0.125000,0.979592
heart-disease,16,0.140940,0.157800,0.022240,0.769231,0.187500,0.959184,1.000000,0.784615,0.250000,0.959184,1.222403,0.784615,0.250000,0.959184,1.444805,0.784615,0.250000,0.959184,1.667208,0.784615,0.250000,0.959184
heart-disease,17,0.114094,0.042837,0.004887,0.815385,0.375000,0.959184,1.000000,0.830769,0.437500,0.959184,1.048875,0.830769,0.437500,0.959184,1.097750,0.830769,0.437500,0.959184,1.146625,0.830769,0.437500,0.959184
heart-disease,18,0.127517,0.091997,0.011731,0.753846,0.250000,0.918367,1.000000,0.753846,0.250000,0.918367,1.117312,0.753846,0.250000,0.918367,1.234624,0.753846,0.250000,0.918367,1.351935,0.753846,0.250000,0.918367
heart-disease,19,0.201342,0.094068,0.018940,0.800000,0.437500,0.918367,1.000000,0.800000,0.437500,0.918367,1.189399,0.815385,0.437500,0.938776,1.378799,0.815385,0.437500,0.938776,1.568198,0.815385,0.437500,0.938776
heart-disease,20,0.114094,0.054449,0.006212,0.723077,0.250000,0.877551,1.000000,0.723077,0.250000,0.877551,1.062123,0.723077,0.250000,0.877551,1.124247,0.723077,0.250000,0.877551,1.186370,0.723077,0.250000,0.877551
heart-disease,21,0.154362,0.136338,0.021046,0.815385,0.312500,0.979592,1.000000,0.815385,0.312500,0.979592,1.210455,0.815385,0.312500,0.979592,1.420911,0.815385,0.312500,0.979592,1.631366,0.815385,0.312500,0.979592
heart-disease,22,0.174497,0.055930,0.009760,0.784615,0.562500,0.857143,1.000000,0.784615,0.562500,0.857143,1.097595,0.784615,0.562500,0.857143,1.195191,0.784615,0.562500,0.857143,1.292786,0.784615,0.562500,0.857143
heart-disease,23,0.114094,0.046418,0.005296,0.830769,0.437500,0.959184,1.000000,0.830769,0.437500,0.959184,1.052960,0.830769,0.437500,0.959184,1.105920,0.830769,0.437500,0.959184,1.158881,0.830769,0.437500,0.959184
heart-disease,24,0.134228,0.122044,0.016382,0.784615,0.250000,0.959184,1.000000,0.784615,0.250000,0.959184,1.163818,0.784615,0.250000,0.959184,1.327635,0.784615,0.250000,0.959184,1.491453,0.784615,0.250000,0.959184
heart-disease,25,0.140940,0.106576,0.015021,0.800000,0.312500,0.959184,1.000000,0.800000,0.312500,0.959184,1.150208,0.800000,0.312500,0.959184,1.300416,0.800000,0.312500,0.959184,1.450624,0.800000,0.312500,0.959184
heart-disease,26,0.147651,0.084420,0.012465,0.753846,0.312500,0.897959,1.000000,0.769231,0.375000,0.897959,1.124646,0.769231,0.375000,0.897959,1.249293,0.769231,0.375000,0.897959,1.373939,0.769231,0.375000,0.897959
